,0
8004295,17
8033586,44
8016552,11
20005779,6
8046006,25
20005895,6
106590,33
8087666,37
8000876,24
8079085,27
8071300,28
7001925,44
8094508,19
11307082,44
8088477,6
102370,12
8049985,33
8088603,11
8086880,20
8080620,6
8105060,17
8045664,9
8043298,6
11120868,12
8083799,44
8104406,12
8051435,12
8104594,6
11301825,9
11306869,25
8003420,40
8021138,20
20007839,40
8105673,5
8103134,5
8062430,6
8052493,6
20000473,12
8008936,13
8077417,22
8021823,23
8046693,17
8008872,6
20005075,17
10002712,6
8070554,6
8052080,39
107283,5
8014502,17
2102404,12
8093701,22
7003527,6
8078545,12
104159,20
8114079,6
8003352,36
8088929,6
8101320,2
8002088,36
2102354,44
8102838,8
8069437,12
8012107,6
8069050,28
8101813,6
20009364,6
8072481,12
8044969,6
8105584,6
10002108,12
10003420,6
8052445,24
8066080,21
8056099,5
8107777,6
8102716,17
8083394,10
11303274,25
8054356,6
8061204,6
8092206,12
8116690,36
10006917,36
8012193,29
11304901,29
11019,24
20009978,6
8089127,6
8012460,6
8094881,18
8032408,9
8003419,6
7003396,12
8072929,44
11306762,45
10464,6
20021842,6
8003915,13
12000028,6
8063772,29
8001585,6
20012014,35
8084917,6
10838,6
8007454,6
8056730,3
8060317,6
8097967,6
8100320,44
8053653,6
8000064,6
8007924,6
9000336,6
8088532,10
8021305,18
8019322,6
8049048,6
8013375,6
10310,10
8112705,17
20021222,18
8052103,9
8094152,33
11306532,36
8072948,3
8108899,17
2105226,6
11301125,22
101510,44
8059179,6
8016058,6
8098351,6
8002617,6
8101040,6
8048117,8
502451251,12
20010414,39
11115,39
8058112,21
8113010,9
8116850,39
10000061,6
8004492,17
8012433,9
20005099,38
10005820,6
8005521,6
3001064,17
8051614,22
8115732,12
8080682,39
8106457,21
10001953,6
8000517,12
8082936,38
10002517,20
8086358,12
100991,6
8069786,14
7003573,6
8033833,6
20001678,27
8046809,17
8093016,24
8007361,11
20009541,28
3001188,8
8094217,6
8010497,25
8097077,12
8098157,28
8087955,12
8046913,28
8108973,0
12000326,44
8053748,12
11301159,45
7000827,6
2103203,6
8042770,35
8015378,17
8015631,10
20008363,10
8033390,20
11303158,6
8000846,6
105376,18
8060806,33
8019262,6
8105483,23
107511,8
8102536,30
8038247,12
8012755,6
20001740,12
8019049,26
8017512,26
20020400,12
8048314,10
10006390,6
8049876,32
8036973,20
8076357,18
8083466,6
9000493,20
8040363,36
8033746,1
8044994,24
8092105,22
7001434,6
8007228,19
7001373,24
8003869,35
8108246,0
8090760,39
8098162,18
11120650,12
8036175,3
8063821,6
11301848,6
8030170,30
8013581,13
8083277,43
8109941,25
2105528,18
11307011,14
8001832,17
8060736,39
8047906,19
8022298,26
8062500,26
8108332,6
8015647,23
8041982,17
8046026,6
8013830,6
8103084,15
10294,41
8007794,17
8049436,9
8037564,6
20007622,30
8075770,19
8048522,45
7002702,6
8018755,6
102437,6
8057831,6
2103030,6
8105266,7
8077560,47
8086433,12
8075605,12
8101368,16
10005621,12
8030242,14
8016435,30
8044679,20
8033554,36
8093174,8
8041564,13
8053906,24
103976,1
8004845,17
8063888,6
2100234,48
11308949,9
7002167,14
2102531,29
8108907,23
8095902,17
8012498,11
8093596,33
8019921,38
20020815,48
11301533,9
8090056,6
11000087,23
8052415,12
100245,20
8049483,21
8047655,9
8030886,23
8032103,12
20000342,6
8003193,1
8047909,37
8060170,24
8063451,38
2100907,12
8097419,6
104992,35
8078613,5
8014227,6
8096842,30
8100487,1
11307460,6
2101130,6
10001977,6
10941,21
8040266,17
8104927,6
8078742,24
10006735,9
100959,33
10005378,6
8030789,12
8032676,17
8096504,6
8083867,12
8099471,24
8034846,39
8088211,44
8073575,22
10005678,12
8079935,6
8061748,6
8115778,44
20011011,17
11301723,17
20020752,12
8091856,2
107189,12
8006413,3
7000111,18
8051386,6
8078722,23
8022730,35
8067686,6
8044007,6
8083909,1
8016546,19
10246,12
11305269,30
10003108,25
8043519,40
8098059,17
8077815,6
8003765,30
8092265,39
2105718,12
20008755,23
8099404,12
100647,19
8039173,12
8048329,12
8036757,24
8061047,6
8000960,5
8096052,6
8031863,35
107027,46
8044056,6
8002073,33
8007017,16
8067994,6
8023185,13
8065647,9
8033115,6
11307217,6
8047537,6
8056325,6
8073087,18
8038366,30
8020684,25
2102278,2
8053178,13
8052409,44
2105471,38
8095905,6
8061086,30
8035643,6
8038542,46
12000360,29
8087125,19
8044515,9
8104970,48
8050158,25
8037434,10
8072407,14
8038974,24
8043732,20
8106184,6
8057737,44
8101282,15
8091789,6
8116290,6
8102572,12
20001043,25
8117062,10
8030436,7
8033436,6
10287,6
11309241,6
8091722,6
11308048,9
8088021,1
106441,47
8032939,38
8051627,33
8108868,33
11309246,10
8032116,30
8092077,45
8043048,6
8013618,1
10003828,12
8038000,36
8094019,6
10766,17
8057236,12
8015034,9
8046979,6
8083879,1
7001032,20
8085988,20
8020593,13
8103057,39
8011955,19
8110624,6
11000511,6
8089700,18
8071619,28
8064643,14
11300682,6
8089137,13
11302049,6
2102996,18
8008937,12
8001004,12
8000139,1
8105238,6
3000878,17
13000146,1
8107292,24
8014184,17
8091848,2
8044740,6
8102952,6
8079946,6
20000732,6
8031895,4
8094441,47
8003000,6
3000880,45
8006670,6
20012274,12
8077550,38
3001117,6
8096780,18
20000832,6
8012565,23
8012578,17
12000646,23
8073556,12
8033937,10
8109850,17
11303783,20
8105460,46
8116954,30
11300211,5
8004132,6
105169,26
10000802,17
8110918,6
9001205,24
11304624,6
8114450,9
106667,17
8104815,38
8039726,6
8020780,12
8060205,17
2100986,6
8102086,6
7003880,10
8057781,6
8039849,6
8038467,35
8017226,6
8110330,11
8098625,12
8095966,39
8111060,6
20000726,44
8035221,12
8072423,36
8093569,12
7001769,9
10002447,30
3001007,10
106017,22
11301633,25
8107281,6
8050596,24
8095565,12
20007547,12
8064074,35
13000622,6
8057120,14
8002448,6
8006331,12
8003254,15
8043375,3
11309237,5
8043555,6
11300033,6
8036947,6
8077692,6
8076373,6
8077825,13
8090567,1
8059451,22
8056398,39
8064417,12
8090646,6
8049512,6
8036611,6
11301776,9
8102079,24
8020731,48
20007934,12
8102269,12
8097506,29
8071452,15
8071364,1
8112781,6
8019401,4
11302809,6
100707,14
8021421,46
8074809,15
10000117,18
8087656,6
8016680,17
8045412,17
9000060,25
2101797,10
8030560,6
8071504,22
8096993,15
8084219,6
8105373,36
8064217,36
8042258,6
10005806,32
11458,26
8035604,6
8016521,48
8038466,5
8072506,17
8050555,48
8033454,45
10515,26
8036244,25
8093030,12
8052915,12
8094137,29
8059781,17
8113439,26
10003298,6
8117029,35
8043260,17
8059336,0
8063938,9
8044898,6
102884,17
8109546,9
107466,24
8042671,19
8052933,10
8073897,18
8099490,46
8054249,9
8109946,6
20012311,17
10003072,30
8042902,22
20005176,9
20009149,6
8033798,47
8090339,30
8111581,37
8089143,11
